code,group_prefix,location
TD-6,TD,TD-6
프-6,프,프-6
TU-6,TU,TU-6
PS-6,PS,PS-6
Bd-6,Bd,Bd-6
아-6,아,아-6
보-6,보,보-6
기-6,기,기-6
어-6,어,어-6
어정-6,어정,어정-6
무-6,무,무-6
제-6,제,제-6
Jh-6,Jh,Jh-6
H-6,H,H-6
R-6,R,R-6
8정-6,8정,8정-6
임1-6,임1,임1-6
I-6,I,I-6
1-7,1,1-7
7-7,7,7-7
8-7,8,8-7
12-7,12,12-7
57-7,57,57-7
51-7,51,51-7
53-7,53,53-7
56-7,56,56-7
60-7,60,60-7
금어-7,금어,금어-7
GH-7,GH,GH-7
GL-7,GL,GL-7
G-7,G,G-7
BH-7,BH,BH-7
Ts-7,Ts,Ts-7
백-7,백,백-7
오-7,오,오-7
러-7,러,러-7
소3-7,소3,소3-7
소1-7,소1,소1-7
종-7,종,종-7
연-7,연,연-7
PP-7,PP,PP-7
복-7,복,복-7
생-7,생,생-7
BJ-7,BJ,BJ-7
JJs-7,JJs,JJs-7
JJ-7,JJ,JJ-7
TD-7,TD,TD-7
프-7,프,프-7
TU-7,TU,TU-7
PS-7,PS,PS-7
Bd-7,Bd,Bd-7
아-7,아,아-7
기-7,기,기-7
어-7,어,어-7
어정-7,어정,어정-7
무-7,무,무-7
제-7,제,제-7
Jh-7,Jh,Jh-7
H-7,H,H-7
8정-7,8정,8정-7
임1-7,임1,임1-7
I-7,I,I-7
1-8,1,1-8
7-8,7,7-8
8-8,8,8-8
12-8,12,12-8
57-8,57,57-8
51-8,51,51-8
53-8,53,53-8
56-8,56,56-8
60-8,60,60-8
금어-8,금어,금어-8
GH-8,GH,GH-8
GL-8,GL,GL-8
G-8,G,G-8
BH-8,BH,BH-8
Ts-8,Ts,Ts-8
백-8,백,백-8
오-8,오,오-8
러-8,러,러-8
소3-8,소3,소3-8
소1-8,소1,소1-8
종-8,종,종-8
PP-8,PP,PP-8
복-8,복,복-8
생-8,생,생-8
BJ-8,BJ,BJ-8
JJs-8,JJs,JJs-8
JJ-8,JJ,JJ-8
TD-8,TD,TD-8
프-8,프,프-8
TU-8,TU,TU-8
PS-8,PS,PS-8
Bd-8,Bd,Bd-8
아-8,아,아-8
기-8,기,기-8
어-8,어,어-8
어정-8,어정,어정-8
무-8,무,무-8
Jh-8,Jh,Jh-8
H-8,H,H-8
8정-8,8정,8정-8
임1-8,임1,임1-8
I-8,I,I-8
1-9,1,1-9
7-9,7,7-9
8-9,8,8-9
12-9,12,12-9
57-9,57,57-9
51-9,51,51-9
53-9,53,53-9
56-9,56,56-9
60-9,60,60-9
금어-9,금어,금어-9
GH-9,GH,GH-9
GL-9,GL,GL-9
G-9,G,G-9
BH-9,BH,BH-9
Ts-9,Ts,Ts-9
백-9,백,백-9
오-9,오,오-9
소3-9,소3,소3-9
소1-9,소1,소1-9
종-9,종,종-9
PP-9,PP,PP-9
복-9,복,복-9
생-9,생,생-9
BJ-9,BJ,BJ-9
JJs-9,JJs,JJs-9
JJ-9,JJ,JJ-9
TD-9,TD,TD-9
프-9,프,프-9
TU-9,TU,TU-9
PS-9,PS,PS-9
Bd-9,Bd,Bd-9
아-9,아,아-9
어-9,어,어-9
어정-9,어정,어정-9
무-9,무,무-9
Jh-9,Jh,Jh-9
H-9,H,H-9
8정-9,8정,8정-9
임1-9,임1,임1-9
1-10,1,1-10
7-10,7,7-10
8-10,8,8-10
12-10,12,12-10
57-10,57,57-10
51-10,51,51-10
53-10,53,53-10
56-10,56,56-10
60-10,60,60-10
금어-10,금어,금어-10
GH-10,GH,GH-10
GL-10,GL,GL-10
G-10,G,G-10
BH-10,BH,BH-10
Ts-10,Ts,Ts-10
백-10,백,백-10
오-10,오,오-10
소3-10,소3,소3-10
소1-10,소1,소1-10
종-10,종,종-10
PP-10,PP,PP-10
복-10,복,복-10
생-10,생,생-10
BJ-10,BJ,BJ-10
JJs-10,JJs,JJs-10
JJ-10,JJ,JJ-10
TD-10,TD,TD-10
프-10,프,프-10
TU-10,TU,TU-10
PS-10,PS,PS-10
Bd-10,Bd,Bd-10
아-10,아,아-10
어-10,어,어-10
어정-10,어정,어정-10
무-10,무,무-10
Jh-10,Jh,Jh-10
H-10,H,H-10
8정-10,8정,8정-10
임1-10,임1,임1-10
1-11,1,1-11
7-11,7,7-11
8-11,8,8-11
12-11,12,12-11
57-11,57,57-11
51-11,51,51-11
53-11,53,53-11
56-11,56,56-11
60-11,60,60-11
금어-11,금어,금어-11
GH-11,GH,GH-11
GL-11,GL,GL-11
G-11,G,G-11
BH-11,BH,BH-11
Ts-11,Ts,Ts-11
백-11,백,백-11
오-11,오,오-11
소3-11,소3,소3-11
소1-11,소1,소1-11
종-11,종,종-11
PP-11,PP,PP-11
복-11,복,복-11
생-11,생,생-11
BJ-11,BJ,BJ-11
JJs-11,JJs,JJs-11
JJ-11,JJ,JJ-11
TD-11,TD,TD-11
TU-11,TU,TU-11
PS-11,PS,PS-11
Bd-11,Bd,Bd-11
아-11,아,아-11
어-11,어,어-11
어정-11,어정,어정-11
무-11,무,무-11
Jh-11,Jh,Jh-11
H-11,H,H-11
8정-11,8정,8정-11
임1-11,임1,임1-11
1-12,1,1-12
7-12,7,7-12
8-12,8,8-12
12-12,12,12-12
57-12,57,57-12
51-12,51,51-12
53-12,53,53-12
56-12,56,56-12
60-12,60,60-12
금어-12,금어,금어-12
GH-12,GH,GH-12
GL-12,GL,GL-12
G-12,G,G-12
BH-12,BH,BH-12
Ts-12,Ts,Ts-12
백-12,백,백-12
오-12,오,오-12
소3-12,소3,소3-12
소1-12,소1,소1-12
종-12,종,종-12
PP-12,PP,PP-12
복-12,복,복-12
생-12,생,생-12
BJ-12,BJ,BJ-12
JJs-12,JJs,JJs-12
JJ-12,JJ,JJ-12
TD-12,TD,TD-12
TU-12,TU,TU-12
PS-12,PS,PS-12
Bd-12,Bd,Bd-12
아-12,아,아-12
어-12,어,어-12
어정-12,어정,어정-12
무-12,무,무-12
Jh-12,Jh,Jh-12
H-12,H,H-12
8정-12,8정,8정-12
임1-12,임1,임1-12
1-13,1,1-13
7-13,7,7-13
8-13,8,8-13
12-13,12,12-13
57-13,57,57-13
51-13,51,51-13
53-13,53,53-13
56-13,56,56-13
60-13,60,60-13
금어-13,금어,금어-13
GH-13,GH,GH-13
GL-13,GL,GL-13
G-13,G,G-13
BH-13,BH,BH-13
Ts-13,Ts,Ts-13
백-13,백,백-13
오-13,오,오-13
소3-13,소3,소3-13
소1-13,소1,소1-13
종-13,종,종-13
PP-13,PP,PP-13
복-13,복,복-13
생-13,생,생-13
BJ-13,BJ,BJ-13
JJs-13,JJs,JJs-13
JJ-13,JJ,JJ-13
TD-13,TD,TD-13
TU-13,TU,TU-13
PS-13,PS,PS-13
Bd-13,Bd,Bd-13
아-13,아,아-13
어-13,어,어-13
어정-13,어정,어정-13
무-13,무,무-13
Jh-13,Jh,Jh-13
H-13,H,H-13
